Loan Number,Country / Economy,Region,Loan Type,Loan Status,Board Approval Date,Original Principal Amount (US$),Cancelled Amount (US$),Disbursed Amount (US$),Repaid to IBRD (US$),Due to IBRD (US$),Agreement Signing Date,Effective Date (Most Recent),Last Disbursement Date
LOAN-1601,Pakistan,Africa,Infrastructure,Fully Repaid,2022-05-22,124156780.83,0.0,124156780.83,45175702.09,27892097.57,2021-11-11,2023-04-14,2029-05-01
LOAN-1602,Bangladesh,Africa,Education,Effective,2006-08-11,288116638.56,0.0,254272252.94,92554906.64,119107315.94,2006-07-05,2006-11-11,2013-01-19
LOAN-1603,Tanzania,East Asia,Climate,Disbursing,2022-05-06,142338966.83,0.0,142338966.83,3807733.4,85880040.12,2022-04-20,2022-09-04,2031-09-30
LOAN-1604,Vietnam,Latin America,Education,Cancelled,2022-01-29,185137803.67,59458681.64,166362256.03,113817452.72,101050148.55,2021-08-03,2022-11-09,2033-11-23
LOAN-1605,Peru,Africa,Investment,Disbursing,2019-04-22,327750678.28,0.0,327750678.28,159442867.89,20731146.29,2019-01-04,2020-01-07,2027-03-07
LOAN-1606,Bangladesh,East Asia,Education,Effective,2007-05-13,278495462.1,0.0,118719228.12,59478320.88,193629686.71,2007-01-13,2007-08-19,2015-03-11
LOAN-1607,Bangladesh,East Asia,Education,Cancelled,2021-01-27,459586627.11,246960366.24,392985253.67,173502337.39,213863086.97,2020-12-08,2021-11-12,2023-02-22
LOAN-1608,Bangladesh,Africa,Investment,Effective,2014-05-17,299341222.62,0.0,299341222.62,166207929.31,94164614.85,2014-04-30,2015-04-14,2016-03-16
LOAN-1609,Morocco,Africa,Investment,Effective,2017-01-26,212581688.74,0.0,211230882.46,5113869.75,152741467.11,2016-09-29,2017-08-20,2025-11-27
LOAN-1610,Colombia,Africa,Infrastructure,Disbursing,2002-12-09,38587301.88,0.0,22974227.77,4851235.17,10961674.13,2002-10-31,2003-06-29,2007-07-26
LOAN-1611,India,Europe & Central Asia,Investment,Fully Repaid,2011-12-17,199039518.51,0.0,153007153.29,118891403.78,94750185.96,2011-06-12,2012-09-12,2013-04-12
LOAN-1612,Vietnam,East Asia,Infrastructure,Disbursing&Repaying,2009-03-27,344360356.72,0.0,226567452.73,19927311.14,143346528.65,2008-11-10,2010-01-08,2017-09-02
LOAN-1613,Mexico,Europe & Central Asia,Agriculture,Disbursing,2024-01-14,183214934.07,0.0,183214934.07,33268674.16,96477897.16,2023-10-23,2024-06-27,2025-12-03
LOAN-1614,Nepal,Europe & Central Asia,Health,Cancelled,2004-04-01,244206274.55,98196035.74,141812728.16,94815879.87,29052824.0,2004-03-05,2005-02-15,2016-12-24
LOAN-1615,Tanzania,East Asia,Climate,Effective,2019-06-02,129794799.4,0.0,129794799.4,76109481.02,35873369.5,2019-01-05,2019-12-09,2024-09-22
LOAN-1616,Colombia,East Asia,Agriculture,Disbursing,2023-02-26,154502551.76,0.0,125501709.9,75853763.54,71174978.91,2022-09-22,2023-12-08,2028-10-01
LOAN-1617,Egypt,Africa,Health,Fully Repaid,2002-09-08,562611940.72,0.0,464816183.44,257034084.77,352667316.65,2002-07-09,2003-04-12,2013-11-17
LOAN-1618,Morocco,Latin America,Climate,Effective,2002-11-21,94531229.13,0.0,89638794.61,24224714.59,35594939.15,2002-09-20,2003-07-20,2009-09-11
LOAN-1619,Nepal,Latin America,Agriculture,Repaying,2001-03-29,157585747.75,0.0,138830808.53,50712026.85,21300697.3,2000-12-30,2001-12-21,2012-12-12
LOAN-1620,Jordan,East Asia,Infrastructure,Disbursing,2011-08-04,256101381.67,0.0,256101381.67,46557043.53,65186502.07,2011-02-07,2012-06-10,2016-05-10
LOAN-1621,Brazil,East Asia,Education,Effective,2002-11-07,470429078.28,0.0,208993677.69,168627578.79,134273904.11,2002-07-27,2003-11-15,2005-09-11
LOAN-1622,Bangladesh,Latin America,Infrastructure,Disbursing&Repaying,2023-07-24,145444485.33,0.0,124613737.58,56104054.97,20432326.42,2023-03-09,2023-10-08,2029-09-20
LOAN-1623,Indonesia,Africa,Agriculture,Repaying,2018-12-20,200925117.03,0.0,174294698.21,61169700.73,122821640.54,2018-11-04,2019-03-14,2023-09-19
LOAN-1624,Pakistan,Africa,Infrastructure,Effective,2005-01-24,266487870.57,0.0,160810702.81,85315360.46,111330353.91,2004-08-28,2005-09-27,2016-07-15
LOAN-1625,Philippines,Africa,Climate,Effective,2000-12-11,528262956.83,0.0,528262956.83,172582562.95,309960097.55,2000-06-29,2001-01-27,2002-12-28
LOAN-1626,Philippines,Africa,Health,Disbursing&Repaying,2005-06-22,333873102.47,0.0,216154388.31,186462394.93,107554323.22,2005-04-13,2006-03-05,2015-01-03
LOAN-1627,India,East Asia,Agriculture,Repaying,2013-05-04,556866903.21,0.0,556866903.21,150799187.88,418898563.56,2013-03-14,2014-01-13,2021-04-10
LOAN-1628,Colombia,South Asia,Infrastructure,Disbursing&Repaying,2018-07-10,168051732.78,0.0,77988716.74,54709943.75,70374838.58,2017-12-29,2019-03-13,2021-08-05
LOAN-1629,Mexico,Africa,Education,Disbursing&Repaying,2014-08-28,306269035.78,0.0,208717777.51,113105071.1,202159319.84,2014-02-22,2014-10-11,2016-08-23
LOAN-1630,Mexico,East Asia,Investment,Effective,2003-09-09,475656494.1,0.0,242049117.47,87281862.47,247922726.64,2003-07-21,2004-02-13,2016-02-03
LOAN-1631,Morocco,Europe & Central Asia,Infrastructure,Disbursing&Repaying,2005-12-27,413023260.12,0.0,413023260.12,118727342.67,168833215.55,2005-11-03,2007-01-12,2014-02-26
LOAN-1632,Nepal,Latin America,Investment,Cancelled,2010-01-25,55217375.69,42454736.84,38325256.82,13572688.97,18386835.11,2009-08-26,2011-01-21,2016-01-07
LOAN-1633,Kenya,East Asia,Agriculture,Fully Repaid,2011-09-02,122968390.59,0.0,118173720.65,17948267.32,43134382.72,2011-08-01,2012-04-07,2016-04-21
LOAN-1634,Indonesia,South Asia,Investment,Disbursing&Repaying,2022-03-02,432557137.18,0.0,323607668.29,267943959.87,168818788.29,2021-12-25,2023-04-01,2027-07-18
LOAN-1635,Pakistan,Africa,Infrastructure,Cancelled,2009-09-01,176337373.85,112154950.03,140247201.68,16434082.68,122070128.21,2009-07-05,2010-05-03,2014-07-14
LOAN-1636,Colombia,Latin America,Health,Repaying,2016-07-31,22120004.17,0.0,22120004.17,4688048.71,8587704.93,2016-01-28,2017-07-27,2027-09-05
LOAN-1637,Kenya,South Asia,Climate,Repaying,2017-03-15,283984556.79,0.0,283984556.79,249042886.56,98873777.63,2016-11-17,2018-02-13,2023-10-09
LOAN-1638,Kenya,South Asia,Investment,Effective,2002-01-15,336414984.76,0.0,148591164.66,124513176.96,135642292.27,2001-11-02,2002-10-30,2011-05-28
LOAN-1639,Nepal,East Asia,Agriculture,Repaying,2011-09-04,404400902.58,0.0,204542176.36,164248053.43,32693282.12,2011-04-19,2012-06-12,2020-02-07
LOAN-1640,Egypt,Latin America,Agriculture,Effective,2001-12-24,58340548.64,0.0,56485579.38,22008854.33,14311199.58,2001-08-09,2002-06-15,2010-11-20
LOAN-1641,Colombia,Africa,Education,Cancelled,2014-01-15,542161642.44,398815777.23,331029320.5,247156507.96,403930841.82,2013-10-17,2014-10-23,2018-04-03
LOAN-1642,Jordan,East Asia,Climate,Effective,2007-05-03,36667202.02,0.0,19026488.13,3936095.05,2819586.32,2006-12-25,2008-01-11,2010-10-04
LOAN-1643,Tanzania,South Asia,Investment,Disbursing,2006-08-22,267704214.21,0.0,267704214.21,135128806.84,105293362.18,2006-05-15,2006-11-07,2012-01-11
LOAN-1644,Nepal,Latin America,Health,Disbursing&Repaying,2009-07-11,501797427.42,0.0,501771996.93,371469125.59,237066939.58,2009-06-30,2010-05-06,2023-02-23
LOAN-1645,Mexico,East Asia,Infrastructure,Effective,2001-03-01,552645852.01,0.0,329888649.49,147888982.14,66720335.7,2000-08-29,2002-03-14,2004-09-20
LOAN-1646,Bangladesh,Africa,Climate,Disbursing,2020-08-23,356251406.21,0.0,356251406.21,268356876.77,58899615.53,2020-02-27,2021-05-25,2031-08-25
LOAN-1647,Nigeria,Europe & Central Asia,Climate,Fully Repaid,2014-07-29,396513750.32,0.0,263103343.46,10382662.96,204907854.84,2014-01-13,2015-06-15,2018-04-18
LOAN-1648,Pakistan,South Asia,Investment,Cancelled,2017-02-08,481926987.94,211717802.02,301861334.11,216836738.53,292939316.88,2016-12-15,2017-07-10,2026-11-15
LOAN-1649,Kenya,South Asia,Investment,Disbursing&Repaying,2006-11-30,512145770.78,0.0,271617814.02,190551655.04,135053821.41,2006-09-05,2007-09-07,2017-06-06
LOAN-1650,Nepal,Europe & Central Asia,Education,Fully Repaid,2019-12-25,83115567.74,0.0,77498304.91,58034418.62,36112876.32,2019-08-16,2020-06-09,2033-06-06
LOAN-1651,Colombia,South Asia,Investment,Fully Repaid,2004-03-02,455111932.88,0.0,455111932.88,251440698.11,170930685.74,2003-10-13,2004-09-22,2015-05-21
LOAN-1652,Philippines,Latin America,Investment,Fully Repaid,2019-08-14,558747229.54,0.0,459191307.04,267480246.04,63125907.81,2019-04-04,2020-02-13,2023-10-09
LOAN-1653,Morocco,Africa,Health,Disbursing,2002-01-08,505715082.79,0.0,413914467.46,110073710.83,43388435.32,2001-12-02,2002-10-26,2012-05-15
LOAN-1654,Colombia,South Asia,Health,Cancelled,2003-09-01,281470612.76,59041618.07,274785122.62,201016935.66,89111689.52,2003-02-14,2004-09-03,2014-11-13
LOAN-1655,Mexico,Latin America,Climate,Effective,2020-05-29,506531344.87,0.0,220952504.72,82774642.62,292918929.79,2020-01-25,2021-05-13,2027-03-05
LOAN-1656,Vietnam,Latin America,Education,Disbursing&Repaying,2004-10-08,130585680.64,0.0,60405857.12,53396818.68,31926665.13,2004-05-15,2004-11-16,2005-09-20
LOAN-1657,Bangladesh,South Asia,Infrastructure,Disbursing&Repaying,2021-10-31,12916236.95,0.0,11942879.37,4946104.27,4570006.14,2021-05-16,2022-10-11,2030-09-29
LOAN-1658,Bangladesh,Africa,Investment,Disbursing&Repaying,2008-06-10,57142902.72,0.0,29033803.6,4985739.19,37827239.73,2008-04-08,2009-03-13,2012-07-08
LOAN-1659,Philippines,East Asia,Education,Fully Repaid,2006-08-24,506043377.35,0.0,506043377.35,245291512.5,57977470.91,2006-04-28,2006-10-04,2010-01-29
LOAN-1660,Mexico,Latin America,Agriculture,Fully Repaid,2010-11-19,444574803.14,0.0,336193138.37,146762476.63,28773252.04,2010-08-26,2011-10-06,2020-06-28
LOAN-1661,Brazil,Africa,Investment,Fully Repaid,2013-01-16,9685197.18,0.0,8758594.07,5621121.45,7599152.96,2012-09-04,2013-09-07,2024-10-07
LOAN-1662,Peru,Europe & Central Asia,Health,Repaying,2002-09-21,436145440.18,0.0,436145440.18,355269171.59,305618295.67,2002-09-07,2003-05-25,2010-08-17
LOAN-1663,Jordan,South Asia,Education,Cancelled,2015-07-22,164370078.16,101664317.48,150996966.17,120831779.05,22634672.89,2015-07-07,2015-11-11,2022-11-01
LOAN-1664,Pakistan,East Asia,Agriculture,Effective,2021-01-05,209589196.93,0.0,122752722.84,24272154.96,153377922.52,2020-10-12,2022-02-09,2030-08-03
LOAN-1665,Colombia,Africa,Climate,Effective,2003-11-13,478603734.9,0.0,478603734.9,363776244.08,247142250.37,2003-07-03,2004-02-17,2008-07-28
LOAN-1666,Pakistan,Latin America,Agriculture,Effective,2010-07-12,365420659.32,0.0,175666108.47,65766918.64,290628341.74,2010-02-10,2010-09-04,2011-10-03
LOAN-1667,Ghana,Africa,Infrastructure,Disbursing,2002-11-09,217441105.53,0.0,114566320.35,85369531.2,156740921.23,2002-07-12,2003-02-05,2008-10-05
LOAN-1668,Indonesia,Europe & Central Asia,Agriculture,Disbursing,2011-12-31,138336905.05,0.0,83867815.65,25688023.6,43774048.19,2011-06-28,2012-10-19,2015-02-26
LOAN-1669,Brazil,East Asia,Health,Cancelled,2004-07-27,480397196.8,108176639.35,480397196.8,326760361.71,375187721.02,2004-06-21,2004-11-19,2008-01-15
LOAN-1670,Pakistan,Africa,Agriculture,Disbursing&Repaying,2004-06-14,98434365.68,0.0,62377699.07,24786784.2,42269927.71,2003-12-22,2005-01-16,2012-10-11
LOAN-1671,Morocco,South Asia,Infrastructure,Repaying,2021-03-31,509914079.57,0.0,383091701.17,143343281.68,319601332.4,2021-01-07,2022-01-13,2025-11-27
LOAN-1672,Kenya,Africa,Education,Repaying,2023-10-04,226599632.65,0.0,226599632.65,73549497.08,124345741.99,2023-07-28,2024-01-12,2034-03-12
LOAN-1673,Colombia,East Asia,Agriculture,Disbursing,2019-11-08,539348828.22,0.0,539348828.22,250548977.48,302924718.8,2019-10-27,2020-12-09,2032-04-11
LOAN-1674,Kenya,South Asia,Climate,Fully Repaid,2001-08-30,206290658.62,0.0,148801721.16,103437340.64,77473325.16,2001-03-09,2001-12-15,2003-10-12
LOAN-1675,Peru,Africa,Infrastructure,Disbursing&Repaying,2014-01-26,254486652.16,0.0,254486652.16,160507621.23,179453749.9,2014-01-14,2014-07-18,2026-09-23
LOAN-1676,Morocco,East Asia,Climate,Disbursing&Repaying,2019-11-01,270482485.17,0.0,152581024.61,74762071.85,173448566.34,2019-07-26,2020-10-28,2029-09-22
LOAN-1677,Pakistan,Africa,Health,Repaying,2023-05-07,55147149.35,0.0,45769199.81,16064722.99,32490516.84,2023-02-14,2023-09-23,2026-04-01
LOAN-1678,Peru,Europe & Central Asia,Agriculture,Cancelled,2011-08-09,190790186.12,133426711.18,128319202.92,73413591.54,12890988.23,2011-05-14,2012-04-11,2023-10-04
LOAN-1679,Indonesia,South Asia,Education,Disbursing&Repaying,2005-08-05,505742147.39,0.0,307392690.05,140401438.85,72250203.78,2005-05-11,2006-06-24,2006-07-13
LOAN-1680,Egypt,Africa,Health,Disbursing&Repaying,2023-12-03,589855584.69,0.0,589855584.69,525030497.82,279708291.32,2023-09-25,2024-06-29,2031-06-15
LOAN-1681,Nepal,Europe & Central Asia,Health,Effective,2023-03-02,405098112.21,0.0,393545031.28,184061004.32,95491751.89,2023-01-02,2023-10-02,2034-03-05
LOAN-1682,Indonesia,Latin America,Agriculture,Repaying,2021-05-12,428426050.34,0.0,428426050.34,31597469.61,41405344.63,2021-01-08,2021-07-20,2030-06-19
LOAN-1683,Peru,East Asia,Education,Fully Repaid,2018-12-29,355002477.45,0.0,289382399.34,102818789.9,87959064.01,2018-06-26,2019-10-05,2029-03-01
LOAN-1684,Mexico,Latin America,Investment,Cancelled,2023-09-26,305942605.07,188669427.03,241025109.33,99288249.95,237418759.76,2023-05-23,2024-06-24,2025-04-15
LOAN-1685,Mexico,Europe & Central Asia,Health,Disbursing,2016-07-30,224752575.48,0.0,224752575.48,121690077.7,80116403.08,2016-05-07,2016-09-18,2029-02-14
LOAN-1686,Morocco,South Asia,Health,Repaying,2006-05-17,226023075.74,0.0,226023075.74,61689398.98,93673942.73,2006-01-20,2006-07-10,2014-01-14
LOAN-1687,Nepal,Latin America,Education,Disbursing,2002-01-02,113930894.04,0.0,112988487.43,212099.54,52482605.25,2001-08-22,2002-11-21,2009-10-09
LOAN-1688,Egypt,Africa,Climate,Repaying,2022-08-23,469902862.57,0.0,366609773.33,237574184.88,236963688.17,2022-04-18,2023-05-10,2033-07-14
LOAN-1689,Morocco,Africa,Health,Fully Repaid,2015-03-17,58142413.58,0.0,52317494.03,29362174.72,19793209.13,2015-02-24,2016-03-24,2025-12-18
LOAN-1690,Nigeria,South Asia,Health,Disbursing&Repaying,2013-11-08,520242376.13,0.0,502432867.33,258650085.84,336658770.98,2013-05-17,2014-02-09,2027-03-22
LOAN-1691,Kenya,Latin America,Education,Cancelled,2008-06-30,573325154.17,287570311.74,477847861.79,325822307.69,440296292.28,2008-06-16,2008-09-29,2021-03-30
LOAN-1692,Mexico,South Asia,Investment,Cancelled,2019-12-05,168602704.13,115349980.84,95200505.0,71088263.51,114512947.01,2019-06-23,2020-06-16,2029-10-04
LOAN-1693,Brazil,East Asia,Education,Cancelled,2014-03-27,517874729.75,183486474.03,216787850.66,85266060.42,187057552.62,2014-02-16,2014-06-15,2027-03-17
LOAN-1694,Mexico,Africa,Investment,Fully Repaid,2007-08-04,90700380.49,0.0,54823266.34,4422357.55,25404783.28,2007-02-18,2008-02-16,2012-06-24
LOAN-1695,India,South Asia,Investment,Effective,2016-11-04,182324480.47,0.0,87332582.49,11197303.0,131229551.87,2016-10-12,2017-03-17,2023-01-14
LOAN-1696,Philippines,East Asia,Health,Effective,2020-11-06,307629657.78,0.0,247191812.79,211205962.49,77512105.23,2020-07-15,2021-01-08,2032-07-12
LOAN-1697,India,East Asia,Agriculture,Cancelled,2004-07-21,381957070.63,251246387.33,381957070.63,6401810.3,177822576.85,2004-01-27,2004-10-23,2012-03-16
LOAN-1698,Colombia,East Asia,Agriculture,Effective,2024-03-29,54925471.57,0.0,49907436.3,9138611.36,42618520.78,2024-01-17,2025-01-28,2034-07-26
LOAN-1699,Jordan,East Asia,Investment,Disbursing&Repaying,2007-07-05,29866287.49,0.0,29866287.49,25834428.23,15397488.01,2007-06-10,2008-04-06,2014-06-16
LOAN-1700,Nigeria,East Asia,Agriculture,Effective,2002-01-15,599548911.93,0.0,599548911.93,114800858.98,408000916.03,2001-06-30,2002-11-14,2015-06-28
LOAN-1701,Kenya,Africa,Agriculture,Effective,2019-05-18,58380486.74,0.0,55971909.14,41836108.17,34666644.54,2018-12-03,2020-03-01,2027-05-03
LOAN-1702,Vietnam,Africa,Agriculture,Effective,2015-04-29,587886007.0,0.0,568017385.32,139568588.49,321401848.42,2014-12-23,2016-03-30,2023-07-06
LOAN-1703,India,Latin America,Education,Disbursing&Repaying,2007-10-14,389633758.69,0.0,156491727.78,67115554.86,282906738.88,2007-05-15,2008-11-03,2019-07-28
LOAN-1704,Bangladesh,Europe & Central Asia,Climate,Disbursing&Repaying,2019-12-20,53283528.12,0.0,53283528.12,31231597.79,24190028.88,2019-11-09,2020-07-17,2029-03-25
LOAN-1705,Ghana,East Asia,Agriculture,Fully Repaid,2016-08-13,110426048.97,0.0,110426048.97,69273255.37,6219585.1,2016-04-12,2016-09-16,2022-05-28
LOAN-1706,India,Africa,Climate,Disbursing&Repaying,2013-08-07,409929839.51,0.0,396549000.59,68349387.49,271459892.37,2013-06-02,2014-01-03,2025-06-30
LOAN-1707,Ghana,South Asia,Investment,Repaying,2017-10-07,172050033.01,0.0,172050033.01,109470481.98,35582483.02,2017-07-18,2018-08-24,2029-10-22
LOAN-1708,Tanzania,Latin America,Investment,Cancelled,2007-11-15,333312186.49,184287891.36,309270624.11,157460914.57,187250686.98,2007-04-29,2008-01-17,2011-07-20
LOAN-1709,Nigeria,Europe & Central Asia,Climate,Disbursing&Repaying,2001-01-13,514009980.6,0.0,514009980.6,337195162.93,131455985.89,2000-07-14,2001-11-11,2007-07-12
LOAN-1710,Jordan,East Asia,Education,Effective,2019-05-27,6163204.07,0.0,4571196.58,2769184.29,3312861.08,2019-03-08,2019-08-27,2031-11-05
LOAN-1711,Egypt,East Asia,Health,Effective,2018-11-04,220075746.65,0.0,220075746.65,175053134.01,48066997.92,2018-07-03,2019-05-14,2019-10-12
LOAN-1712,Bangladesh,Latin America,Investment,Repaying,2019-01-04,204149960.12,0.0,204149960.12,148397753.24,161829363.81,2018-10-23,2019-05-14,2023-07-09
LOAN-1713,Vietnam,Africa,Infrastructure,Disbursing,2014-12-30,42392254.15,0.0,38163023.17,957337.64,15853079.75,2014-10-18,2015-03-25,2026-06-09
LOAN-1714,Philippines,Africa,Investment,Disbursing,2019-09-02,500347919.97,0.0,500347919.97,234016494.89,113858046.56,2019-03-16,2020-05-17,2023-04-16
LOAN-1715,Kenya,South Asia,Education,Repaying,2002-10-12,550445054.88,0.0,386366249.72,309508483.7,313766204.05,2002-09-18,2003-04-14,2013-04-14
LOAN-1716,Kenya,South Asia,Agriculture,Disbursing,2018-06-10,408150852.2,0.0,345869661.17,91802487.05,137176078.28,2017-12-29,2019-06-12,2019-07-01
LOAN-1717,Egypt,East Asia,Education,Disbursing&Repaying,2001-03-01,281204410.4,0.0,208789942.12,116544381.36,35420070.46,2000-10-10,2001-09-15,2006-04-20
LOAN-1718,Indonesia,South Asia,Climate,Cancelled,2005-08-26,12311706.46,6221583.02,11950228.79,6376616.37,8379157.78,2005-05-18,2006-04-28,2017-04-08
LOAN-1719,Egypt,Latin America,Climate,Fully Repaid,2023-01-07,149675724.33,0.0,149675724.33,8148655.45,42470508.27,2022-09-28,2023-07-15,2035-12-23
LOAN-1720,Morocco,Latin America,Investment,Cancelled,2006-06-27,284366637.2,97376353.83,251000077.37,65751365.39,221152870.4,2006-01-25,2006-08-23,2016-10-09
LOAN-1721,Ghana,Latin America,Climate,Repaying,2021-05-04,586023909.41,0.0,534713902.71,96855462.71,59365881.45,2020-10-29,2022-01-28,2029-08-02
LOAN-1722,Vietnam,Europe & Central Asia,Agriculture,Disbursing,2022-03-31,183280796.81,0.0,121495967.67,11464736.98,129594022.46,2022-03-21,2023-03-23,2028-01-26
LOAN-1723,Philippines,East Asia,Agriculture,Effective,2016-11-10,376232410.46,0.0,222434331.8,147057466.99,287607544.7,2016-07-21,2017-03-14,2017-10-31
LOAN-1724,Ghana,South Asia,Investment,Repaying,2016-02-22,48870038.34,0.0,20721583.9,2148214.13,13093855.01,2016-02-05,2016-07-02,2021-05-26
LOAN-1725,Nepal,Latin America,Agriculture,Repaying,2008-01-04,135272299.06,0.0,82461869.33,12934644.6,92749538.14,2007-12-20,2008-05-03,2014-09-13
LOAN-1726,Indonesia,South Asia,Infrastructure,Effective,2009-06-06,499710213.08,0.0,254749681.91,150144947.72,356672483.88,2009-01-31,2009-11-05,2018-07-17
LOAN-1727,Ghana,Latin America,Investment,Disbursing&Repaying,2002-12-07,564991244.63,0.0,564991244.63,507320002.21,401848805.92,2002-10-22,2003-03-13,2008-01-03
LOAN-1728,Pakistan,Europe & Central Asia,Health,Repaying,2002-01-26,230026339.99,0.0,160881397.85,86810676.63,180049932.96,2001-08-19,2002-06-01,2014-11-25
LOAN-1729,Nepal,Latin America,Agriculture,Cancelled,2021-12-07,199969959.68,127256708.19,88508139.95,63376318.05,140906556.22,2021-07-30,2022-12-11,2024-03-17
LOAN-1730,Mexico,Europe & Central Asia,Agriculture,Cancelled,2020-10-28,235928927.04,92742217.27,235928927.04,159493296.71,78021594.44,2020-07-15,2021-08-23,2032-06-26
LOAN-1731,Tanzania,East Asia,Agriculture,Disbursing,2009-04-17,164659597.81,0.0,118679534.1,98393249.85,80351737.58,2009-02-15,2010-01-03,2015-05-16
LOAN-1732,Bangladesh,Latin America,Health,Effective,2011-06-02,187069426.61,0.0,187069426.61,96197337.57,140605904.42,2011-05-02,2011-09-08,2014-02-14
LOAN-1733,Nepal,East Asia,Education,Effective,2019-02-11,313698328.73,0.0,183244388.77,6785288.57,136206737.14,2018-10-05,2019-10-20,2029-02-08
LOAN-1734,Ghana,East Asia,Infrastructure,Disbursing&Repaying,2003-05-28,193627153.32,0.0,136680776.55,22088865.2,43632484.83,2003-04-27,2003-11-24,2015-06-24
LOAN-1735,Peru,Europe & Central Asia,Investment,Disbursing,2016-02-28,387974367.53,0.0,387974367.53,323549410.91,48033877.45,2015-10-02,2016-07-09,2024-06-19
LOAN-1736,Pakistan,Africa,Climate,Repaying,2006-03-08,153764067.55,0.0,153175009.29,105941131.48,105187873.04,2005-08-21,2007-01-10,2012-11-10
LOAN-1737,India,Africa,Education,Cancelled,2000-07-13,172697935.81,102315690.02,116969328.74,104939980.93,131140121.37,2000-05-26,2001-03-03,2006-06-16
LOAN-1738,Philippines,Latin America,Infrastructure,Disbursing&Repaying,2020-09-11,287290759.82,0.0,233469789.43,165151202.06,177607737.03,2020-08-11,2021-03-20,2025-09-23
LOAN-1739,Colombia,East Asia,Infrastructure,Cancelled,2005-10-03,129702928.33,99354051.51,98571313.5,49542152.67,42934928.13,2005-09-21,2006-07-15,2014-07-13
LOAN-1740,Vietnam,Latin America,Infrastructure,Cancelled,2013-06-10,254392652.91,140468767.4,241319476.73,87606654.98,161280503.67,2013-01-06,2013-07-26,2017-05-19
LOAN-1741,Morocco,Africa,Agriculture,Fully Repaid,2017-02-07,343073576.46,0.0,343073576.46,282135810.28,164815651.2,2016-10-20,2017-04-10,2029-11-29
LOAN-1742,Bangladesh,Latin America,Agriculture,Effective,2004-03-07,287492704.5,0.0,190628675.96,165035695.64,152156226.66,2004-01-31,2005-03-17,2017-05-27
LOAN-1743,Mexico,South Asia,Agriculture,Fully Repaid,2012-09-24,496752522.77,0.0,438479045.64,10591309.92,98977468.82,2012-07-17,2013-03-22,2025-04-24
LOAN-1744,Kenya,East Asia,Agriculture,Fully Repaid,2017-07-17,39184642.47,0.0,31928639.78,4937545.28,27224725.9,2017-06-09,2017-10-21,2030-05-24
LOAN-1745,Colombia,East Asia,Education,Repaying,2013-11-23,447169938.84,0.0,318024719.8,258626846.56,91607130.35,2013-05-16,2014-11-28,2025-05-13
LOAN-1746,Mexico,Europe & Central Asia,Agriculture,Fully Repaid,2012-05-09,347179373.42,0.0,225059372.06,41112846.03,203995321.38,2012-04-28,2012-08-20,2023-03-04
LOAN-1747,Kenya,East Asia,Education,Fully Repaid,2020-08-22,364884916.7,0.0,218008556.93,64531037.9,174021572.98,2020-03-18,2020-10-11,2023-07-04
LOAN-1748,Nepal,East Asia,Agriculture,Repaying,2018-08-14,211335194.91,0.0,211335194.91,150705686.05,72555129.08,2018-06-20,2019-07-26,2029-02-16
LOAN-1749,Egypt,East Asia,Agriculture,Disbursing,2010-10-02,546945691.8,0.0,299045540.65,153037673.65,188785682.83,2010-07-14,2011-09-18,2023-08-20
LOAN-1750,Nepal,South Asia,Infrastructure,Cancelled,2005-06-09,420336175.58,103369148.66,411058310.11,80373977.37,176589819.46,2005-05-04,2006-03-24,2013-07-27
LOAN-1751,Colombia,East Asia,Education,Disbursing&Repaying,2020-09-19,103079267.89,0.0,58332318.18,2343305.39,7219507.98,2020-06-14,2021-05-11,2025-11-24
LOAN-1752,Bangladesh,South Asia,Education,Disbursing&Repaying,2020-10-28,11388730.03,0.0,5600364.41,4622671.15,3363465.21,2020-06-22,2020-12-31,2023-07-01
LOAN-1753,Jordan,Latin America,Investment,Repaying,2007-08-26,429581015.89,0.0,322262623.44,136545560.77,111414592.29,2007-03-14,2007-11-15,2012-06-11
LOAN-1754,Nepal,South Asia,Agriculture,Disbursing&Repaying,2012-04-03,323119030.68,0.0,230280342.09,16079732.45,201203566.06,2011-12-03,2012-11-02,2017-01-24
LOAN-1755,Pakistan,South Asia,Climate,Disbursing&Repaying,2023-06-15,536149184.9,0.0,442772930.28,176158241.69,46010723.64,2022-12-18,2024-07-15,2026-07-31
LOAN-1756,Bangladesh,Africa,Infrastructure,Repaying,2011-03-15,269172077.26,0.0,236484972.34,10357622.11,89646858.19,2011-01-03,2011-07-25,2014-01-26
LOAN-1757,India,East Asia,Investment,Disbursing,2009-11-22,21626781.07,0.0,8902620.56,6574352.87,12110340.9,2009-05-26,2010-03-17,2014-06-17
LOAN-1758,Brazil,East Asia,Health,Cancelled,2009-04-16,309937559.88,135454600.65,309937559.88,90009468.37,161195371.57,2008-12-18,2009-07-16,2015-04-28
LOAN-1759,Pakistan,South Asia,Education,Fully Repaid,2009-07-17,217162913.92,0.0,117028496.29,42355601.81,62364881.67,2009-05-12,2009-09-18,2016-08-10
LOAN-1760,Ghana,South Asia,Health,Disbursing,2024-01-19,45062104.78,0.0,25903891.63,7029819.45,22492831.72,2023-11-27,2024-06-25,2026-12-30
LOAN-1761,Vietnam,East Asia,Climate,Disbursing&Repaying,2014-04-06,408350810.82,0.0,408350810.82,254953285.48,122111148.17,2013-11-24,2014-06-09,2022-08-07
